Transaction_Amount,Account_Age_Days,Time_Since_Last_Transaction,Transactions_Last_24h,Transactions_Last_7d,Avg_Transaction_Amount_7d,Avg_Transaction_Amount_30d,Distance_From_Home_Location,Device_Risk_Score,Merchant_Risk_Score,Velocity_Transactions_1h,Velocity_Transactions_24h,Chargeback_History_Count,Failed_Login_Count,Session_Duration,IP_Risk_Score,Behavioral_Anomaly_Score,Card_Usage_Frequency,Credit_Limit_Utilization,Geo_Location_Risk,Transaction_Hour,Days_Since_Last_Address_Change,Num_Unique_Merchants_7d,Amount_Deviation_From_Avg,Email_Domain_Age_Days,Num_Cards_On_Account,Previous_Fraud_Reports,Merchant_Category,Transaction_Channel,Device_Type,Payment_Method,Country_Code,Account_Type,Card_Presence,Customer_Segment,Merchant_Size,Authentication_Type,Transaction_Day_Of_Week,Card_Type,Email_Provider,Fraud_Label,Time
58.52,936,17.92,2,7,34.62,35.86,32.33,25.2,75.4,0,3,0,0,535.2,26.3,14.5,15.3,0.324,2,6,617,5,22.66,2023,1,0,grocery,online,mobile_app,debit_card,US,personal,not_present,regular,large,signature,Tuesday,mastercard,gmail.com,0,0.27217549218657827
11.7,1374,0.78,1,14,11.85,13.3,12.23,29.2,32,0,0,0,0,407.3,24.2,21.6,9.4,0.265,8.4,13,999,3,-1.6,1903,1,1,restaurant,mobile,mobile_app,credit_card,US,business,present,inactive,large,signature,Friday,visa,other,0,2.0180459221187403
16.35,926,1.89,2,8,41.83,47.52,12.44,22.6,12.9,2,2,0,0,326.8,11.4,22.1,12.5,0.667,24.9,15,597,4,-31.17,1857,1,0,restaurant,ATM,desktop,digital_wallet,CA,business,present,vip,large,pin,Thursday,mastercard,gmail.com,0,2.781758424375101
2.8,844,18.92,0,4,5.07,5,10.19,1.7,41.9,0,5,0,0,296,10.1,23.2,18.7,0.298,16.8,10,38,2,-2.2,2338,2,0,grocery,mobile,mobile_app,debit_card,US,personal,not_present,inactive,medium,biometric,Monday,amex,gmail.com,0,3.3112651055651536
245.09,955,11.55,0,9,195,174.77,3.35,1.4,31.2,0,1,0,0,152.7,54,11.7,20.9,0.15,43.2,11,654,1,70.32,1619,1,0,travel,POS,mobile_app,credit_card,CN,personal,present,inactive,enterprise,3d_secure,Thursday,mastercard,outlook.com,0,3.4096475304333143
8.41,1934,22.3,4,8,28.03,27.36,4.28,20.1,12.4,1,12,0,0,258.4,10.6,28,16.5,0.283,37.8,11,463,3,-18.95,2368,3,0,restaurant,mobile,tablet,debit_card,US,personal,present,regular,enterprise,pin,Thursday,visa,protonmail.com,0,3.5080133797437854
18.75,1276,15.63,1,10,25.47,27.43,6.81,37,22.1,1,2,0,0,90.8,24.8,11.9,16.7,0.612,14.1,10,613,5,-8.68,2033,4,0,online_services,mobile,desktop,digital_wallet,US,premium,present,vip,small,3d_secure,Friday,visa,yahoo.com,0,3.542719866
15.75,900,21.05,4,11,22.82,22.53,31.9,9,31.8,0,2,0,0,405.3,20.6,14.3,20.2,0.461,10.4,19,491,6,-6.78,2064,3,0,grocery,POS,mobile_browser,credit_card,FR,business,not_present,vip,medium,3d_secure,Tuesday,amex,gmail.com,0,4.709233766935185
74.97,822,5.81,3,6,137.72,120.74,15.11,8.6,13.4,1,3,0,0,11.1,8.2,21,5.9,0,27.4,13,625,4,-45.78,2305,1,0,clothing,mobile,mobile_app,digital_wallet,BR,personal,present,regular,enterprise,3d_secure,Monday,mastercard,gmail.com,0,5.242301416038998
15.28,56,19.85,4,9,33.06,35.39,7.17,21.4,24.2,0,4,0,0,257.5,26.8,11.3,11.6,0.421,8.6,15,640,0,-20.11,1866,3,0,restaurant,mobile,desktop,debit_card,US,business,not_present,regular,small,biometric,Tuesday,mastercard,yahoo.com,0,5.956426452
