model,variant,crossover,mutation,selection,coverage_lambda,parsimony_mu,pop_size,cx_prob,max_budget,converged_at,n_paths,total_conditions,train_precision,train_recall,train_f1,train_alert_rate,val_precision,val_recall,val_f1,val_alert_rate,test_precision,test_recall,test_f1,test_alert_rate,best_rule_str
Baseline GA,SwapCX_UniformMut_Tournament3,SwapCX,UniformMut,Tournament3,,,,,,,,,0.7908045977011494,0.335609756097561,0.4712328767123288,0.0020714285714285713,0.8888888888888888,0.3562753036437247,0.5086705202312138,0.0022,0.8297872340425532,0.34210526315789475,0.484472049689441,0.002088888888888889,Transaction_Hour < 6.0000  AND  Time_Since_Last_Transaction <= 4.2490  AND  Email_Domain_Age_Days < 144.0000
Baseline GA,SwapCX_UniformMut_Tournament5,SwapCX,UniformMut,Tournament5,,,,,,,,,0.5663716814159292,0.3746341463414634,0.4509688784497945,0.0032285714285714287,0.6666666666666666,0.4291497975708502,0.5221674876847291,0.003533333333333333,0.688,0.37719298245614036,0.48725212464589235,0.002777777777777778,Device_Risk_Score_bin > 5  AND  Email_Domain_Age_Days <= 144.0000  AND  Days_Since_Last_Address_Change < 416.0000
Baseline GA,SwapCX_UniformMut_selBest,SwapCX,UniformMut,selBest,,,,,,,,,0.6130952380952381,0.30146341463414633,0.40418574231523874,0.0024,0.6829268292682927,0.340080971659919,0.4540540540540541,0.0027333333333333333,0.61,0.2675438596491228,0.3719512195121951,0.0022222222222222222,Transactions_Last_24h > 2.0000  AND  Failed_Login_Count >= 2.0000  AND  Email_Domain_Age_Days <= 144.0000
Baseline GA,SwapCX_UniformMut_selRandom,SwapCX,UniformMut,selRandom,,,,,,,,,0.7526881720430108,0.2731707317073171,0.4008589835361489,0.0017714285714285714,0.8089887640449438,0.291497975708502,0.42857142857142855,0.001977777777777778,0.8292682926829268,0.2982456140350877,0.43870967741935485,0.0018222222222222223,Email_Domain_Age_Days <= 1590.0000  AND  Time_Since_Last_Transaction <= 15.1100  AND  Days_Since_Last_Address_Change < 449.0000  AND  Credit_Limit_Utilization > 0.0750  AND  Account_Age_Days <= 191.0000
Baseline GA,SwapCX_UniformMut_selRoulette,SwapCX,UniformMut,selRoulette,,,,,,,,,0.47859495060373214,0.4253658536585366,0.45041322314049587,0.004338095238095238,0.5728155339805825,0.4777327935222672,0.5209713024282561,0.004577777777777778,0.5478723404255319,0.4517543859649123,0.4951923076923077,0.004177777777777778,Days_Since_Last_Address_Change <= 48.0000  AND  Account_Age_Days <= 191.0000
Baseline GA,SwapCX_ThresholdBiasedMut_Tournament3,SwapCX,ThresholdBiasedMut,Tournament3,,,,,,,,,0.5188067444876784,0.3902439024390244,0.44543429844098,0.0036714285714285716,0.6473988439306358,0.4534412955465587,0.5333333333333333,0.0038444444444444446,0.6012658227848101,0.4166666666666667,0.49222797927461137,0.003511111111111111,Account_Age_Days <= 191.0000  AND  Days_Since_Last_Address_Change <= 48.0000  AND  Geo_Location_Risk > 8.1000
Baseline GA,SwapCX_ThresholdBiasedMut_Tournament5,SwapCX,ThresholdBiasedMut,Tournament5,,,,,,,,,0.7163265306122449,0.34243902439024393,0.4633663366336634,0.0023333333333333335,0.8440366972477065,0.3724696356275304,0.5168539325842697,0.0024222222222222223,0.7033898305084746,0.36403508771929827,0.4797687861271676,0.0026222222222222224,Time_Since_Last_Transaction < 7.4900  AND  Transaction_Hour < 6.0000  AND  Email_Domain_Age_Days <= 144.0000
Baseline GA,SwapCX_ThresholdBiasedMut_selBest,SwapCX,ThresholdBiasedMut,selBest,,,,,,,,,0.7928994082840237,0.26146341463414635,0.3932501834189288,0.0016095238095238096,0.8085106382978723,0.3076923076923077,0.44574780058651026,0.002088888888888889,0.7611940298507462,0.2236842105263158,0.34576271186440677,0.001488888888888889,Email_Domain_Age_Days <= 144.0000  AND  Failed_Login_Count > 1.0000  AND  Transactions_Last_7d > 14.0000
Baseline GA,SwapCX_ThresholdBiasedMut_selRandom,SwapCX,ThresholdBiasedMut,selRandom,,,,,,,,,0.4992548435171386,0.32682926829268294,0.39504716981132076,0.003195238095238095,0.5481927710843374,0.3684210526315789,0.4406779661016949,0.0036888888888888887,0.4748201438848921,0.2894736842105263,0.35967302452316074,0.003088888888888889,Failed_Login_Count > 1.0000  AND  Transactions_Last_24h >= 2.0000  AND  Email_Domain_Age_Days <= 144.0000
Baseline GA,SwapCX_ThresholdBiasedMut_selRoulette,SwapCX,ThresholdBiasedMut,selRoulette,,,,,,,,,0.7808857808857809,0.32682926829268294,0.4607977991746905,0.0020428571428571427,0.7886178861788617,0.39271255060728744,0.5243243243243243,0.0027333333333333333,0.8181818181818182,0.35526315789473684,0.4954128440366973,0.0022,Time_Since_Last_Transaction < 4.2490  AND  Days_Since_Last_Address_Change < 416.0000  AND  Transactions_Last_7d >= 19.0000
